,handle,created_at,tweet_text,key_word_list
2541,RepMalliotakis,2022-12-06T20:32:25.000Z,"RT @nypmetro: 'Black hole' MTA 'should not be asking for more money,' US Rep. Nicole Malliotakis scolds https://t.co/ImceOFrP60 https://t.c…","['rt', 'black', 'hole', 'mta', 'ask', 'more', 'money', 'us', 'nicole', 'malliotakis', 'scold']"
2542,RepMalliotakis,2022-12-06T20:32:20.000Z,"RT @Jim_Jordan: Want A Dog For Christmas? Rescue One Left By Its Family At Biden’s Border Disaster

https://t.co/6AQ9MfHQLL","['rt', 'want', 'dog', 'christmas', 'rescue', 'leave', 'family', 'biden', 'border', 'disaster']"
2543,RepMalliotakis,2022-12-06T19:34:51.000Z,"Thank you to @NYPDHateCrimes &amp; @NYPD121Pct  for quickly apprehending the individual responsible for this heinous attack on #StatenIsland. Antisemitism &amp; violence have no place in America &amp; this criminal must be held accountable to the fullest extent.

https://t.co/Fzxlvba1qi","['thank', 'amp', 'quickly', 'apprehend', 'individual', 'responsible', 'heinous', 'attack', 'statenisland', 'antisemitism', 'amp', 'violence', 'have', 'place', 'america', 'amp', 'criminal', 'hold', 'accountable', 'full', 'extent']"
2544,RepMalliotakis,2022-12-06T14:04:56.000Z,"The MTA is a black hole -- they’re constantly asking for more and more money. My question to the governor and the MTA is: At what point is it enough? The U.S. DOT must audit every federal penny MTA received! 

https://t.co/9eJMYr4JZg","['mta', 'black', 'hole', 'constantly', 'ask', 'more', 'more', 'money', 'question', 'governor', 'mta', 'point', 'enough', 'dot', 'audit', 'federal', 'penny', 'mta', 'receive']"
2545,RepMalliotakis,2022-12-05T20:02:26.000Z,"The @MTA's plan to raise tolls &amp; fares AFTER receiving BILLIONS in federal aid shows how mismanaged the agency is. 

@GovKathyHochul: reign in the MTA's spending &amp; search within NY's bloated budget - stop hitting our constituents with more price hikes!

https://t.co/ynqeBb7LHp","['plan', 'raise', 'toll', 'amp', 'fare', 'receive', 'billion', 'federal', 'aid', 'show', 'mismanage', 'agency', 'reign', 'mta', 'spending', 'amp', 'search', 'ny', 'bloated', 'budget', 'stop', 'hit', 'constituent', 'more', 'price', 'hike']"
2546,RepMalliotakis,2022-12-04T13:55:07.000Z,"Our office participated in the street naming of Woodrow Road in honor of U.S. Navy Service Member Ira Duane Hudson, the first Staten Islander killed in World War II, aboard the USS West Virginia in Pearl Harbor. May many generations learn of his selfless service. 🇺🇸 https://t.co/Mh5H2QnImj","['office', 'participate', 'street', 'naming', 'woodrow', 'road', 'honor', 'navy', 'service', 'member', 'ira', 'duane', 'hudson', 'first', 'staten', 'islander', 'kill', 'world', 'war', 'ii', 'uss', 'west', 'virginia', 'pearl', 'harbor', 'many', 'generation', 'learn', 'selfless', 'service']"
2547,RepMalliotakis,2022-12-03T14:56:58.000Z,"Republicans, including myself, STOPPED @POTUS’ vaccine mandate on private employers w/ legal action. Now, we’re focused on ending Biden’s mandate on our military &amp; getting ALL those fired reinstated. We will win this fight to protect the freedoms of those who defend OUR freedoms.","['republicans', 'include', 'stopped', 'vaccine', 'mandate', 'private', 'employer', 'legal', 'action', 'now', 'focus', 'end', 'biden', 'mandate', 'military', 'amp', 'get', 'fire', 'reinstate', 'win', 'fight', 'protect', 'freedom', 'defend', 'freedom']"
2548,RepMalliotakis,2022-12-02T15:44:51.000Z,"Now that the election is over @POTUS should stop lying that our economy is ""strong as hell” &amp; work with @HouseGOP to pass policies that create jobs, incentivize work, cut inflationary spending, unleash our energy independence &amp; lower costs for Americans.

https://t.co/xKSAZrT3vP","['now', 'election', 'stop', 'lie', 'economy', 'strong', 'hell', 'amp', 'work', 'pass', 'policy', 'create', 'job', 'incentivize', 'work', 'cut', 'inflationary', 'spending', 'unleash', 'energy', 'independence', 'amp', 'low', 'cost', 'americans']"
2549,RepMalliotakis,2022-12-01T21:41:27.000Z,"NYC Dems opened heroin shooting galleries &amp; are purchasing used syringes with YOUR tax dollars 

National Dems are allowing cartels to smuggle fentanyl into the USA

Governor Hochul refuses to fix bail law releasing drug traffickers &amp; now this #Enablers 

https://t.co/VJssg31gsM","['nyc', 'dems', 'open', 'heroin', 'shooting', 'gallery', 'amp', 'purchase', 'use', 'syrinx', 'tax', 'dollar', 'national', 'dems', 'allow', 'cartel', 'smuggle', 'fentanyl', 'usa', 'governor', 'hochul', 'refuse', 'fix', 'bail', 'law', 'release', 'drug', 'trafficker', 'amp', 'now', 'enablers']"
2570,RepMann,2022-02-09T20:13:06.000Z,"China poses as one of the greatest threats to our free nation, and House Dems are giving the CCP even more ways to use us as a doormat. 

It's time to hold China accountable and put America's best interests first. Proud to join my colleagues on the Stop CCP Act. https://t.co/Bpun3OeXJA","['china', 'pose', 'great', 'threat', 'free', 'nation', 'house', 'dems', 'give', 'ccp', 'even', 'more', 'way', 'use', 'doormat', 'time', 'hold', 'china', 'accountable', 'put', 'america', 'good', 'interest', 'first', 'proud', 'join', 'colleague', 'stop', 'ccp', 'act']"
2571,RepMann,2022-02-09T18:23:46.000Z,"Drew Francis has served the Dodge City, KS community for 30 years on the police force. This week I shared how he's touched and changed lives through his service.

I'm proud to represent people like Drew Francis. America must stand in support of our law enforcement officers. https://t.co/LaPmZ09Adb","['drew', 'francis', 'serve', 'dodge', 'city', 'ks', 'community', 'year', 'police', 'force', 'week', 'share', 'touch', 'change', 'life', 'service', 'proud', 'represent', 'people', 'drew', 'francis', 'america', 'stand', 'support', 'law', 'enforcement', 'officer']"
2572,RepMann,2022-02-08T18:43:00.000Z,"11,201 pounds of fentanyl was seized at the southern border last year. That's enough to kill every single American nearly 7 times.

Unfortunately, President Biden and Congressional Democrats are not serious about fighting this epidemic. https://t.co/lcqSQhv23E","['pound', 'fentanyl', 'seize', 'southern', 'border', 'last', 'year', 'enough', 'kill', 'single', 'american', 'nearly', 'time', 'unfortunately', 'president', 'biden', 'congressional', 'democrats', 'serious', 'fight', 'epidemic']"
2573,RepMann,2022-02-08T18:24:00.000Z,RT @HouseCommerce: RT if you agree → It’s time to secure our border and stop the scourge of fentanyl &amp; its deadly analogs.,"['rt', 'rt', 'agree', 'time', 'secure', 'border', 'stop', 'scourge', 'fentanyl', 'amp', 'deadly', 'analog']"
2574,RepMann,2022-02-08T16:19:38.000Z,"America is the most food-secure country in the world because of the strength of our agricultural producers.

Listen to my conversation w/ Chip Flory to hear how strong agricultural policies benefit our free nation.
https://t.co/n2onvXmXy8","['america', 'most', 'food', 'secure', 'country', 'world', 'strength', 'agricultural', 'producer', 'listen', 'conversation', 'chip', 'flory', 'hear', 'strong', 'agricultural', 'policy', 'benefit', 'free', 'nation']"
2575,RepMann,2022-02-08T14:50:11.000Z,"REMINDER: Join me tomorrow night for a tele-town hall meeting. 

Dial-in to join the conversation at 833-419-0137 or listen in on my Facebook Live at https://t.co/tWponaXN5A https://t.co/Emb4VMLZFu","['reminder', 'join', 'tomorrow', 'night', 'tele', 'town', 'hall', 'meeting', 'dial', 'in', 'join', 'conversation', 'listen', 'facebook', 'live']"
2576,RepMann,2022-02-07T16:34:57.000Z,RT @HouseGOP: Biden and Congressional Democrats’ open-border policies have allowed for fentanyl to flow across our borders and into our com…,"['rt', 'biden', 'congressional', 'democrats', 'open', 'border', 'policy', 'allow', 'fentanyl', 'flow', 'border', 'com']"
2577,RepMann,2022-02-07T16:06:33.000Z,Tune in at 10:30AM CT to hear my thoughts about the upcoming Farm Bill! https://t.co/mVhW8K9xuH,"['tune', 'ct', 'hear', 'thought', 'upcoming', 'farm', 'bill']"
2578,RepMann,2022-02-07T15:19:04.000Z,"China is using us as a doormat by not living up to their end of the Phase One trade deal.
U.S. must either force China to comply with their end of the agreement or punish them for failing to do so. 

That's how deals work.

Read more in my opinion piece: https://t.co/nXye0RZyyO","['china', 'use', 'doormat', 'live', 'end', 'phase', 'trade', 'deal', 'force', 'china', 'comply', 'end', 'agreement', 'punish', 'fail', 'do', 'so', 'deal', 'work', 'read', 'more', 'opinion', 'piece']"
