Name,State,Party,Handles
"Courtney, Joe",CT,D,RepJoeCourtney
"Craig, Angie",MN,D,RepAngieCraig
"Crawford, Rick",AR,R,RepRickCrawford
"Crenshaw, Dan",TX,R,RepDanCrenshaw
"Crow, Jason",CO,D,RepJasonCrow
"Cuellar, Henry",TX,D,RepCuellar
"Curtis, John R.",UT,R,RepJohnCurtis
"Davids, Sharice",KS,D,RepDavids
"Davidson, Warren",OH,R,WarrenDavidson
"Davis, Danny K.",IL,D,RepDannyDavis
"Davis, Rodney",IL,R,RodneyDavis
"Dean, Madeleine",PA,D,RepDean
"DeFazio, Peter",OR,D,RepPeterDeFazio
"DeGette, Diana",CO,D,RepDianaDeGette
"DeLauro, Rosa L.",CT,D,rosadelauro
"DelBene, Suzan",WA,D,RepDelBene
"Delgado, Antonio",NY,D,repdelgado
"Demings, Val",FL,D,RepValDemings
"DeSaulnier, Mark",CA,D,RepDeSaulnier
"DesJarlais, Scott",TN,R,DesJarlaisTN04
"Deutch, Ted",FL,D,RepTedDeutch
"Diaz-Balart, Mario",FL,R,MarioDB
"Dingell, Debbie",MI,D,RepDebDingell
"Doggett, Lloyd",TX,D,RepLloydDoggett
"Donalds, Byron",FL,R,RepDonaldsPress
"Doyle, Michael",PA,D,USRepMikeDoyle
"Duncan, Jeff",SC,R,RepJeffDuncan
"Dunn, Neal",FL,R,DrNealDunnFL2
"Ellzey, Jake",TX,R,RepEllzey
"Emmer, Tom",MN,R,RepTomEmmer
"Escobar, Veronica",TX,D,RepEscobar
"Eshoo, Anna G.",CA,D,RepAnnaEshoo
"Espaillat, Adriano",NY,D,RepEspaillat
"Estes, Ron",KS,R,RepRonEstes
"Evans, Dwight",PA,D,RepDwightEvans
"Fallon, Pat",TX,R,RepPatFallon
"Feenstra, Randy",IA,R,RepFeenstra
"Ferguson, A. Drew",GA,R,RepDrewFerguson
"Finstad, Brad",MN,R,repfinstad
"Fischbach, Michelle",MN,R,RepFischbach
"Fitzgerald, Scott",WI,R,RepFitzgerald
"Fitzpatrick, Brian",PA,R,RepBrianFitz
"Fleischmann, Chuck",TN,R,RepChuck
"Fletcher, Lizzie",TX,D,RepFletcher
"Flood, Mike",NE,R,USRepMikeFlood
"Flores, Mayra",TX,R,repmayraflores
"Foster, Bill",IL,D,RepBillFoster
"Foxx, Virginia",NC,R,virginiafoxx
"Frankel, Lois",FL,D,RepLoisFrankel
"Franklin, C. Scott",FL,R,RepFranklin
"Fulcher, Russ",ID,R,RepRussFulcher
"Gaetz, Matt",FL,R,RepMattGaetz
"Gallagher, Mike",WI,R,RepGallagher
"Gallego, Ruben",AZ,D,RepRubenGallego
"Garamendi, John",CA,D,RepGaramendi
"Garbarino, Andrew R.",NY,R,RepGarbarino
"García, Jesús ""Chuy""",IL,D,RepChuyGarcia
"Garcia, Mike",CA,R,RepMikeGarcia
"Garcia, Sylvia",TX,D,RepSylviaGarcia
"Gibbs, Bob",OH,R,RepBobGibbs
"Gimenez, Carlos A.",FL,R,RepCarlos
"Gohmert, Louie",TX,R,replouiegohmert
"Golden, Jared",ME,D,RepGolden
"Gomez, Jimmy",CA,D,RepJimmyGomez
"Gonzales, Tony",TX,R,RepTonyGonzales
"González-Cólón, Jenniffer",PR,R,RepJenniffer
"Gonzalez, Anthony",OH,R,RepAGonzalez
"Gonzalez, Vicente",TX,D,RepGonzalez
"Good, Bob",VA,R,RepBobGood
"Gooden, Lance",TX,R,Lancegooden
"Gosar, Paul A.",AZ,R,RepGosar
"Gottheimer, Josh",NJ,D,RepJoshG
"Granger, Kay",TX,R,RepKayGranger
"Graves, Garret",LA,R,RepGarretGraves
"Graves, Sam",MO,R,RepSamGraves
"Green, Al",TX,D,RepAlGreen
"Green, Mark",TN,R,RepMarkGreen
"Greene, Majorie Taylor",GA,R,RepMTG
"Griffith, Morgan",VA,R,RepMGriffith
"Grijalva, Raul",AZ,D,RepRaulGrijalva
"Grothman, Glenn",WI,R,RepGrothman
"Guest, Michael",MS,R,RepMichaelGuest
"Guthrie, S. Brett",KY,R,RepGuthrie
"Harder, Josh",CA,D,RepJoshHarder
"Harris, Andy",MD,R,RepAndyHarrisMD
"Harshbarger, Diana",TN,R,RepHarshbarger
"Hartzler, Vicky",MO,R,RepHartzler
"Hayes, Jahana",CT,D,RepJahanaHayes
"Hern, Kevin",OK,R,repkevinhern
"Herrell, Yvette",NM,R,RepHerrell
"Herrera Butler, Jaime",WA,R,HerreraBeutler
"Hice, Jody",GA,R,CongressmanHice
"Higgins, Brian",NY,D,RepBrianHiggins
"Higgins, Clay",LA,R,RepClayHiggins
"Hill, French",AR,R,RepFrenchHill
"Himes, Jim",CT,D,jahimes
"Hinson, Ashley",IA,R,RepAshleyHinson
"Hollingsworth, Trey",IN,R,RepTrey
"Horsford, Steven",NV,D,RepHorsford
"Houlahan, Chrissy",PA,D,RepHoulahan
"Hoyer, Steny H.",MD,D,LeaderHoyer
"Hudson, Richard",NC,R,RepRichHudson
"Huffman, Jared",CA,D,RepHuffman
"Huizenga, Bill",MI,R,RepHuizenga
"Issa, Darrell",CA,R,repdarrellissa
"Jackson Lee, Sheila",TX,D,JacksonLeeTX18
"Jackson, Ronny",TX,R,RepRonnyJackson
"Jacobs, Chris",NY,R,RepJacobs
"Jacobs, Sara",CA,D,RepSaraJacobs
"Jayapal, Pramila",WA,D,RepJayapal
"Jeffries, Hakeem",NY,D,RepJeffries
"Johnson, Bill",OH,R,RepBillJohnson
"Johnson, Dusty",SD,R,RepDustyJohnson
"Johnson, Eddie Bernice",TX,D,RepEBJ
"Johnson, Henry C. ""Hank"" Jr.",GA,D,RepHankJohnson
"Johnson, Mike",LA,R,RepMikeJohnson
"Jones, Mondaire",NY,D,RepMondaire
"Jordan, Jim",OH,R,Jim_Jordan
"Joyce, David",OH,R,RepDaveJoyce
"Joyce, John",PA,R,RepJohnJoyce
"Kahele, Kaiali'i",HI,D,KaheleRep
"Kaptur, Marcy",OH,D,RepMarcyKaptur
"Katko, John",NY,R,RepJohnKatko
"Keating, William",MA,D,USRepKeating
"Keller, Fred",PA,R,RepFredKeller
"Kelly, Mike",PA,R,MikeKellyPA
"Kelly, Robin",IL,D,RepRobinKelly
"Kelly, Trent",MS,R,RepTrentKelly
"Khanna, Ro",CA,D,RepRoKhanna
"Kildee, Dan",MI,D,RepDanKildee
"Kilmer, Derek",WA,D,RepDerekKilmer
"Kim, Andy",NJ,D,RepAndyKimNJ
"Kim, Young",CA,R,RepYoungKim
"Kind, Ron",WI,D,RepRonKind
"Kinzinger, Adam",IL,R,RepKinzinger
"Kirkpatrick, Ann",AZ,D,RepKirkpatrick
"Krishnamoorthi, Raja",IL,D,CongressmanRaja
"Kuster, Ann",NH,D,RepAnnieKuster
"Kustoff, David",TN,R,RepDavidKustoff
"LaHood, Darin",IL,R,RepLaHood
"LaMalfa, Doug",CA,R,RepLaMalfa
"Lamb, Conor",PA,D,RepConorLamb
"Lamborn, Doug",CO,R,RepDLamborn
"Langevin, Jim",RI,D,JimLangevin
"Larsen, Rick",WA,D,RepThompson
"Larson, John B.",CT,D,RepJohnLarson
"Latta, Robert E.",OH,R,boblatta
"LaTurner, Jake",KS,R,RepLaTurner
"Lawrence, Brenda",MI,D,RepLawrence
"Lawson, Al",FL,D,RepAlLawsonJr
"Lee, Barbara",CA,D,RepBarbaraLee
"Lee, Susie",NV,D,RepSusieLee
"Leger Fernandez, Teresa",NM,D,RepTeresaLF
"Lesko, Debbie",AZ,R,RepDLesko
"Letlow, Julia",LA,R,RepJuliaLetlow
"Levin, Andy",MI,D,RepAndyLevin
"Levin, Mike",CA,D,RepMikeLevin
"Lieu, Ted",CA,D,RepTedLieu
"Lofgren, Zoe",CA,D,RepZoeLofgren
"Long, Billy",MO,R,USRepLong
"Loudermilk, Barry",GA,R,RepLoudermilk
"Lowenthal, Alan",CA,D,RepLowenthal
"Lucas, Frank",OK,R,RepFrankLucas
"Luetkemeyer, Blaine",MO,R,RepBlaine
"Luria, Elaine",VA,D,RepElaineLuria
"Lynch, Stephen F.",MA,D,RepStephenLynch
"Mace, Nancy",SC,R,RepNancyMace
"Malinowski, Tom",NJ,D,RepMalinowski
"Malliotakis, Nicole",NY,R,RepMalliotakis
"Maloney, Carolyn",NY,D,RepMaloney
"Maloney, Sean Patrick",NY,D,RepSeanMaloney
"Mann, Tracey",KS,R,RepMann
"Manning, Kathy E.",NC,D,RepKManning
"Massie, Thomas",KY,R,RepThomasMassie
"Mast, Brian",FL,R,RepBrianMast
"Matsui, Doris O.",CA,D,DorisMatsui
"McBath, Lucy",GA,D,RepLucyMcBath
"McCarthy, Kevin",CA,R,GOPLeader
"McCaul, Michael T.",TX,R,RepMcCaul
"McClain, Lisa C.",MI,R,RepLisaMcClain
"McClintock, Tom",CA,R,RepMcClintock
"McCollum, Betty",MN,D,BettyMcCollum04
"McEachin, A. Donald",VA,D,RepMcEachin
"McGovern, James",MA,D,RepMcGovern
"McHenry, Patrick T.",NC,R,PatrickMcHenry
"McKinley, David",WV,R,RepMcKinley
"McNerney, Jerry",CA,D,RepMcNerney
"Meeks, Gregory W.",NY,D,RepGregoryMeeks
"Meijer, Peter",MI,R,RepMeijer
"Meng, Grace",NY,D,RepGraceMeng
"Meuser, Daniel",PA,R,RepMeuser
"Mfume, Kweisi",MD,D,RepKweisiMfume
"Miller-Meeks, Mariannette",IA,R,RepMMM
"Miller, Carol",WV,R,RepCarolMiller
"Miller, Mary E.",WV,R,RepMaryMiller
"Moolenaar, John",MI,R,RepMoolenaar
"Mooney, Alex",WV,R,RepAlexMooney
"Moore, Barry",AL,R,RepBarryMoore
"Moore, Blake D.",UT,R,RepBlakeMoore
"Moore, Gwen",WI,D,RepGwenMoore
"Morelle, Joe",NY,D,RepJoeMorelle
"Moulton, Seth",MA,D,teammoulton
"Mrvan, Frank J.",IN,D,RepMrvan
"Mullin, Markwayne",OK,R,RepMullin
"Murphy, Gregory Francis",NC,R,RepGregMurphy
"Murphy, Stephanie",FL,D,RepStephMurphy
"Nadler, Jerrold",NY,D,RepJerryNadler
"Napolitano, Grace",CA,D,gracenapolitano
"Neal, Richard E.",MA,D,RepRichardNeal
"Neguse, Joe",CO,D,RepJoeNeguse
"Nehls, Troy E.",TX,R,RepTroyNehls
"Newhouse, Dan",WA,R,RepNewhouse
"Newman, Marie",IL,D,RepMarieNewman
"Norcross, Donald",NJ,D,DonaldNorcross
"Norman, Ralph",SC,R,RepRalphNorman
"Norton, Eleanor Holmes",DC,D,EleanorNorton
"O'Halleran, Tom",AZ,D,RepOHalleran
"Obernolte, Jay",CA,R,JayObernolte
"Ocasio-Cortez, Alexandria",NY,D,RepAOC
"Omar, Ilhan",MN,D,Ilhan
"Owens, Burgess",UT,R,RepBurgessOwens
"Palazzo, Steven",MS,R,CongPalazzo
"Pallone Jr., Frank",NJ,D,FrankPallone
"Palmer, Gary",AL,R,USRepGaryPalmer
"Panetta, Jimmy",CA,D,RepJimmyPanetta
"Pappas, Chris",NH,D,RepChrisPappas
"Pascrell Jr., Bill",NJ,D,BillPascrell
"Payne Jr., Donald",NJ,D,RepDonaldPayne
"Pelosi, Nancy",CA,D,SpeakerPelosi
"Peltola, Mary",AK,D,MaryPeltola
"Pence, Greg",IN,R,RepGregPence
"Perlmutter, Ed",CO,D,RepPerlmutter
"Perry, Scott",PA,R,RepScottPerry
"Peters, Scott",CA,D,RepScottPeters
"Pfluger, August",TX,R,RepPfluger
"Phillips, Dean",MN,D,RepDeanPhillips
"Pingree, Chellie",ME,D,chelliepingree
"Plaskett, Stacey",VI,D,StaceyPlaskett
"Pocan, Mark",WI,D,repmarkpocan
"Porter, Katie",CA,D,RepKatiePorter
"Posey, Bill",FL,R,congbillposey
"Pressley, Ayanna",MA,D,RepPressley
"Price, David",NC,D,RepDavidEPrice
"Quigley, Mike",IL,D,RepMikeQuigley
"Radewagen, Amata",AS,R,RepAmata
"Raskin, Jamie",MD,D,RepRaskin
"Reschenthaler, Guy",PA,R,GReschenthaler
"Rice, Kathleen",NY,D,RepKathleenRice
"Rice, Tom",SC,R,RepTomRice
"Rodgers, Cathy McMorris",WA,R,cathymcmorris
"Rogers, Harold",KY,R,RepHalRogers
"Rogers, Mike",AL,R,RepMikeRogersAL
"Rose, John W.",TN,R,RepJohnRose
"Rosendale, Matthew M.",MT,R,RepRosendale
"Ross, Deborah K.",NC,D,RepDeborahRoss
"Rouzer, David",NC,R,RepDavidRouzer
"Roy, Chip",TX,R,RepChipRoy
"Roybal-Allard, Lucille",CA,D,RepRoybalAllard
"Ruiz, Raul",CA,D,RepRaulRuizMD
"Ruppersberger, C. A. Dutch",MD,D,Call_Me_Dutch
"Rush, Bobby L.",IL,D,RepBobbyRush
"Rutherford, John",FL,R,RepRutherfordFL
"Ryan, Pat",NY,D,PatRyanUC
"Ryan, Tim",OH,D,RepTimRyan
"Sablan, Gregorio",MP,D,Kilili_Sablan
"Salazar, Maria Elvira",FL,R,RepMariaSalazar
"San Nicolas, Michael F. Q.",GU,D,GuamCongressman
"Sánchez, Linda",CA,D,RepLindaSanchez
"Sarbanes, John P.",MD,D,RepSarbanes
"Scalise, Steve",LA,R,SteveScalise
"Scanlon, Mary Gay",PA,D,RepMGS
"Schakowsky, Jan",IL,D,janschakowsky
"Schiff, Adam",CA,D,RepAdamSchiff
"Schneider, Bradley",IL,D,RepSchneider
"Schrader, Kurt",OR,D,RepSchrader
"Schrier, Kim",WA,D,RepKimSchrier
"Schweikert, David",AZ,R,RepDavid
"Scott, Austin",GA,R,AustinScottGA08
"Scott, David",GA,D,repdavidscott
"Scott, Robert C.",VA,D,BobbyScott
"Sessions, Pete",TX,R,PeteSessions
"Sewell, Terri A.",AL,D,RepTerriSewell
"Sherman, Brad",CA,D,BradSherman
"Sherrill, Mikie",NJ,D,RepSherrill
"Simpson, Mike",ID,R,CongMikeSimpson
"Sires, Albio",NJ,D,RepSires
"Slotkin, Elissa",MI,D,RepSlotkin
"Smith, Adam",WA,D,RepAdamSmith
"Smith, Adrian",NE,R,RepAdrianSmith
"Smith, Jason",MO,R,RepJasonSmith
"Smucker, Lloyd",PA,R,RepSmucker
"Soto, Darren",FL,D,RepDarrenSoto
"Spanberger, Abigail",VA,D,RepSpanberger
"Spartz, Victoria",IN,R,RepSpartz
"Speier, Jackie",CA,D,RepSpeier
"Stansbury, Melanie",NM,D,Rep_Stansbury
"Stanton, Greg",AZ,D,RepGregStanton
"Stauber, Pete",MN,R,RepPeteStauber
"Steel, Michelle",CA,R,RepSteel
"Stefanik, Elise",NY,R,RepStefanik
"Steil, Bryan",WI,R,RepBryanSteil
"Steube, W. Gregory",FL,R,RepGregSteube
"Stevens, Haley",MI,D,RepHaleyStevens
"Stewart, Chris",UT,R,RepChrisStewart
"Strickland, Marilyn",WA,D,RepStricklandWA
"Suozzi, Thomas",NY,D,RepTomSuozzi
"Swalwell, Eric",CA,D,RepSwalwell
"Takano, Mark",CA,D,RepMarkTakano
"Taylor, Van",TX,R,RepVanTaylor
"Tenney, Claudia",NY,R,claudiatenney
"Thompson, Bennie G.",MS,D,BennieGThompson
"Thompson, Glenn",PA,R,CongressmanGT
"Thompson, Mike",CA,D,RepThompson
"Tiffany, Thomas P.",WI,R,RepTiffany
"Timmons, William",SC,R,RepTimmons
"Titus, Dina",NV,D,repdinatitus
"Tlaib, Rashida",MI,D,RepRashida
"Tonko, Paul D.",NY,D,RepPaulTonko
"Torres, Norma",CA,D,NormaJTorres
"Torres, Ritchie",NY,D,RepRitchie
"Trahan, Lori",MA,D,RepLoriTrahan
"Trone, David",MD,D,RepDavidTrone
"Turner, Mike",OH,R,RepMikeTurner
"Underwood, Lauren",IL,D,RepUnderwood
"Upton, Fred",MI,R,RepFredUpton
"Valadao, David G.",CA,R,RepDavidValadao
"Van Drew, Jefferson",NJ,R,Congressman_JVD
"Van Duyne, Beth",TX,R,RepBethVanDuyne
"Vargas, Juan",CA,D,RepJuanVargas
"Veasey, Marc",TX,R,RepVeasey
"Velázquez, Nydia M.",NY,D,NydiaVelazquez
"Wagner, Ann",MO,R,RepAnnWagner
"Walberg, Tim",MI,R,RepWalberg
"Waltz, Michael",FL,R,michaelgwaltz
"Wasserman Schultz, Debbie",FL,R,RepDWStweets
"Waters, Maxine",CA,D,RepBonnie
"Watson Coleman, Bonnie",NJ,D,RepBonnie
"Weber, Randy",TX,R,TXRandy14
"Webster, Daniel",FL,R,RepWebster
"Welch, Peter",VT,D,PeterWelch
"Wenstrup, Brad",OH,R,RepBradWenstrup
"Westerman, Bruce",AR,R,RepWesterman
"Wexton, Jennifer",VA,D,RepWexton
"Wild, Susan",PA,D,RepSusanWild
"Williams, Nikema",GA,D,RepNikema
"Williams, Roger",TX,R,RepRWilliams
"Wilson, Frederica",FL,D,RepWilson
"Wilson, Joe",SC,R,RepJoeWilson
"Wittman, Robert J.",VA,R,RobWittman
"Womack, Steve",AR,R,rep_stevewomack
"Yarmuth, John A.",KY,D,RepJohnYarmuth
"Zeldin, Lee",NY,R,RepLeeZeldin
